"District","DEM","DEM_PRCT","GOP","GOP_PRCT"
"CA-32","Brad Sherman (I)",100,"Lucie Lapointe Volotzky",0
"CA-33","Peter Aguilar (I)",100,"John Mark Porter",0
"CA-34","A DEMOCRAT (I)",100,"",0
"CA-35","Norma Torres (I)",99,"Mike Cargile",1
"CA-36","Ted Lieu (I)",97,"Joe Collins",3
"CA-37","A DEMOCRAT",100,"",0
"CA-38","Linda Sanchez (I)",94,"Eric Ching",6
"CA-39","Mark Takano (I)",88,"Aja Smith",12
"CA-40","Asif Mahmood",16,"Young Kim (I)",84
"CA-41","Will Rollins",27,"Ken Calvert (I)",73
"CA-42","Robert Garcia",99,"John Briscoe",1
"CA-43","Maxine Waters (I)",100,"Omar Navarro",0
"CA-44","Nanette Barragan (I)",100,"Paul Irving Jones",0
"CA-45","Jay Chen",33,"Michelle Steel (I)",67
"CA-46","Lou Correa (I)",99,"Christopher Gonzales",1
"CA-47","Katie Porter (I)",95,"Scott Baugh",5
"CA-48","Stephen Houlahan",0,"Darrell Issa (I)",100
"CA-49","Mike Levin (I)",88,"Brian Maryott",12
"CA-50","Scott Peters (I)",99,"Corey Gustafson",1
"CA-51","Sara Jacobs (I)",98,"Stan Caplan",2
"CA-52","Juan Vargas (I)",100,"Tyler Geffeney",0
"CO-01","Diana DeGette (I)",99,"Jennifer Qualteri",1
"CO-02","Joe Neguse (I)",97,"Marshall Dawson",3
"CO-03","Adam Frisch",12,"Lauren Boebert (I)",88
"CO-04","Isaac McCorkle",2,"Ken Buck (I)",98
"CO-05","David Torres",1,"Doug Lamborn (I)",99
"CO-06","Jason Crow (I)",100,"Steve Monahan",0
"CO-07","Brittany Pettersen",84,"Erik Aadland",16
"CO-08","Yadira Caraveo",36,"Barbara Kirkmeyer",64
"CT-01","John Larson (I)",97,"Larry Lazor",3
"CT-02","Joe Courtney (I)",91,"Mike France",9
"CT-03","Rosa DeLauro (I)",99,"Lesley DeNardis",1
"CT-04","Jim Himes (I)",98,"Jayme Stevenson",2
"CT-05","Jahana Hayes (I)",87,"George Logan",13
"DE-01","Lisa Blunt Rochester (I)",98,"Lee Murphy",2
"FL-01","Rebekah Jones",0,"Matt Gaetz (I)",100
"FL-02","Alfred Lawson (I)",21,"Neal Dunn (I)",79
"FL-03","Danielle Hawk",2,"Kat Cammack (I)",98
"FL-04","LaShonda Holloway",0,"Aaron Bean",100
"FL-05","",0,"John Rutherford (I)",100
"FL-06","",0,"Michael Waltz (I)",100
"FL-07","Karen Green",1,"Cory Mills",99
"FL-08","Joanne Terry",0,"Bill Posey (I)",100
"FL-09","Darren Soto (I)",94,"Scotty Moore",6
"FL-10","Maxwell Alejandro Frost",100,"Calvin Wimbish",0
"FL-11","Shante Munns",0,"Daniel Webster (I)",100
"FL-12","Kimberly Walker",0,"Gus Bilirakis (I)",100
"FL-13","Eric Lynn",26,"Anna Paulina Luna",74
"FL-14","Kathy Castor (I)",97,"James Judge",3
"FL-15","Alan Cohn",21,"Laurel Lee",79
"FL-16","Jan Schneider",0,"Vern Buchanan (I)",100
"FL-17","Andrea Doria Kale",0,"Greg Steube (I)",100
"FL-18","",0,"Scott Franklin (I)",100
"FL-19","Cindy Banyai",0,"Byron Donalds (I)",100
"FL-20","Sheila Cherfilus-McCormick (I)",92,"Drew-Montez Clark",8
"FL-21","Corinna Robinson",0,"Brian Mast (I)",100
"FL-22","Lois Frankel (I)",91,"Dan Franzese",9
"FL-23","Jared Moskowitz",91,"Joe Budd",9
"FL-24","Frederica Wilson (I)",99,"Jesus Navarro",1
"FL-25","Debbie Wasserman Schultz (I)",83,"Carla Spalding",17
"FL-26","Christine Alexandria Olivo",0,"Mario Diaz-Balart (I)",100
"FL-27","Annette Taddeo",43,"Maria Elvira Salazar (I)",57
"FL-28","Robert Asencio",0,"Carlos Gimenez (I)",100
"GA-01","Wade Herring",17,"Earl Carter (I)",83
"GA-02","Sanford Bishop Jr. (I)",83,"Chris West",17
"GA-03","Val Almonord",0,"Drew Ferguson (I)",100
"GA-04","Hank Johnson (I)",99,"Jonathan Chavez",1
"GA-05","Nikema Williams (I)",98,"Christian Zimm",2
"GA-06","Bob Christian",0,"Rich McCormick",100
"GA-07","Lucy McBath (I)",100,"Mark Gonsalves",0
"GA-08","Darrius Butler",0,"Austin Scott (I)",100
"GA-09","Michael Ford",0,"Andrew Clyde (I)",100
"GA-10","Tabitha Johnson-Green",0,"Mike Collins",100
"GA-11","Antonio Daza",0,"Barry Loudermilk (I)",100
"GA-12","Liz Johnson",0,"Rick Allen (I)",100
"GA-13","David Scott (I)",98,"Caesar Gonzales",2
"GA-14","Marcus Flowers",18,"Marjorie Taylor Greene (I)",82
"HI-01","Ed Case (I)",99,"Conrad Kress",1
"HI-02","Jill Tokuda",99,"Joseph Akana",1
"IA-01","Christina Bohannan",12,"Mariannette Miller-Meeks (I)",88
"IA-02","Liz Mathis",11,"Ashley Hinson (I)",89
"IA-03","Cindy Axne (I)",64,"Zach Nunn",36
"IA-04","Ryan Melton",0,"Randy Feenstra (I)",100
"ID-01","Kaylee Peterson",0,"Russ Fulcher (I)",100
"ID-02","Wendy Norman",0,"Michael Simpson (I)",100
"IL-01","Jonathan Jackson",100,"Eric Carlson",0
"IL-02","Robin Kelly (I)",100,"Thomas Lynch",0
"IL-03","Delia Ramirez",99,"Justin Burau",1
"IL-04","Jesus Garcia (I)",100,"James Falakos",0
"IL-05","Mike Quigley (I)",99,"Tom Hanson",1
"IL-06","Sean Casten (I)",85,"Keith Pekau",15
"IL-07","Danny Davis (I)",100,"",0
"IL-08","Raja Krishnamoorthi (I)",99,"Chris Dargis",1
"IL-09","Jan Schakowsky (I)",99,"Max Rice",1
"IL-10","Brad Schneider (I)",96,"Joseph Severino",4
"IL-11","Bill Foster (I)",89,"Catalina Lauf",11
"IL-12","Homer Markel",0,"Mike Bost (I)",100
"IL-13","Nikki Budzinski",76,"Regan Deering",24
"IL-14","Lauren Underwood (I)",88,"Scott Gryder",12
"IL-15","Paul Lange",1,"Mary Miller (I)",99
"IL-16","Elizabeth Haderlein",0,"Darin LaHood (I)",100
"IL-17","Eric Sorensen",31,"Ester Joy King",69
"IN-01","Frank Mrvan (I)",32,"Jennifer-Ruth Green",68
"IN-02","Paul Steury",0,"Rudy Yakym",100
"IN-03","Gary Snyder",0,"Jim Banks (I)",100
"IN-04","Roger Day",0,"Jim Baird (I)",100
"IN-05","Jeannine Lee Lake",0,"Victoria Spartz (I)",100
"IN-06","Cynthia Wirth",0,"Greg Pence (I)",100
"IN-07","Andre Carson (I)",99,"Angela Grabovsky",1
"IN-08","Ray McCormick",0,"Larry Bucshon (I)",100
"IN-09","Matthew Fyfe",0,"Erin Houchin",100
"KS-01","James Beard",0,"Tracey Mann (I)",100
"KS-02","Patrick Schmidt",14,"Jacob LaTurner (I)",86
"KS-03","Sharice Davids (I)",53,"Amanda Adkins",47
"KS-04","Bob Hernandez",0,"Ron Estes (I)",100
"KY-01","Jimmy Ausbrooks",0,"James Comer Jr. (I)",100
"KY-02","Hank Linderman",0,"Brett Guthrie (I)",100
"KY-03","Morgan McGarvey",97,"Stuart Ray",3
"KY-04","Matthew Lehman",0,"Thomas Massie (I)",100
"KY-05","Conor Halbleib",0,"Hal Rogers (I)",100
"KY-06","Geoff Young",0,"Andy Barr (I)",100
"LA-01","Katie Darling",0,"Steve Scalise (I)",100
"LA-02","Troy Carter (I)",99,"Dan Lux",1
"LA-03","Tia Lebrun",0,"Clay Higgins (I)",100
"LA-04","",0,"Mike Johnson (I)",100
"LA-05","Earl Walter Huff",1,"Julia Letlow (I)",99
"LA-06","",0,"Garret Graves (I)",100
"MA-01","Richard Neal (I)",98,"Dean James Martilli",2
"MA-02","Jim McGovern (I)",99,"Jeffrey Sossa-Paquette",1
"MA-03","Lori Trahan (I)",97,"Dean Tran",3
"MA-04","Jake Auchincloss (I)",100,"",0
"MA-05","Katherine Clark (I)",99,"Caroline Colarusso",1
"MA-06","Seth Moulton (I)",98,"Robert May Jr.",2
"MA-07","Ayanna Pressley (I)",100,"Donnie Palmer",0
"MA-08","Stephen Lynch (I)",99,"Robert Burke",1
"MA-09","Bill Keating (I)",97,"Jesse Brown",3
"MD-01","Heather Mizeur",19,"Andrew Harris (I)",81
"MD-02","Dutch Ruppersberger (I)",86,"Nicolee Ambrose",14
"MD-03","John Sarbanes (I)",97,"Yuripzy Morgan",3
"MD-04","Glenn Ivey",100,"Jeffrey Warner",0
"MD-05","Steny Hoyer (I)",97,"Chris Palombi",3
"MD-06","David Trone (I)",70,"Neil Parrott",30
"MD-07","Kweisi Mfume (I)",100,"Scott Collier",0
"MD-08","Jamie Raskin (I)",98,"Gregory Coll",2
"ME-01","Chellie Pingree (I)",96,"Ed Thelander",4
"ME-02","Jared Golden (I)",37,"Bruce Poliquin",63
"MI-01","Bob Lorinser",1,"Jack Bergman (I)",99
"MI-02","Jerry Hilliard",0,"John Moolenaar (I)",100
"MI-03","Hillary Scholten",71,"John Gibbs",29
"MI-04","Joseph Alfonso",2,"Bill Huizenga (I)",98
"MI-05","Bart Goldberg",0,"Tim Walberg (I)",100
"MI-06","Debbie Dingell (I)",98,"Whittney Williams",2
"MI-07","Elissa Slotkin (I)",93,"Tom Barrett",7
"MI-08","Dan Kildee (I)",60,"Paul Junge",40
"MI-09","Brian Steven Jaye",0,"Lisa McClain (I)",100
"MI-10","Carl Marlinga",13,"John James",87
"MI-11","Haley Stevens (I)",98,"Mark Ambrose",2
"MI-12","Rashida Tlaib (I)",96,"Steven Elliott",4
"MI-13","Shri Thanedar",92,"Martell Bivings",8
"MN-01","Jeff Ettinger",12,"Brad Finstad (I)",88
"MN-02","Angie Craig (I)",72,"Tyler Kistner",28
"MN-03","Dean Phillips (I)",96,"Tom Weiler",4
"MN-04","Betty McCollum (I)",97,"May Lor Xiong",3
"MN-05","Ilhan Omar (I)",100,"Cicely Davis",0
"MN-06","Jeanne Hendricks",0,"Tom Emmer (I)",100
"MN-07","Jill Abahsain",0,"Michelle Fischbach (I)",100
"MN-08","Jennifer Schultz",10,"Pete Stauber (I)",90
"MO-01","Cori Bush (I)",99,"Andrew Jones Jr.",1
"MO-02","Trish Gunby",5,"Ann Wagner (I)",95
"MO-03","Bethany Mann",0,"Blaine Luetkemeyer (I)",100
"MO-04","Jack Truman",0,"Mark Alford",100
"MO-05","Emanuel Cleaver (I)",99,"Jacob Turk",1
"MO-06","Henry Martin",0,"Sam Graves (I)",100
"MO-07","Kristen Radaker-Sheafer",0,"Eric Burlison",100
"MO-08","Randi McCallian",0,"Jason Smith (I)",100
"MS-01","Dianne Black",0,"Trent Kelly (I)",100
"MS-02","Bennie Thompson (I)",100,"Brian Flowers",0
"MS-03","Shuwaski Young",0,"Michael Guest (I)",100
"MS-04","Johnny DuPree",0,"Mike Ezell",100
"MT-01","Monica Tranel",13,"Ryan Zinke",87
"MT-02","Penny Ronning",0,"Matt Rosendale (I)",100
"NC-01","Donald Davis",82,"Sandy Smith",18
"NC-02","Deborah Ross (I)",99,"Christine Villaverde",1
"NC-03","Barbara Gaskins",0,"Gregory Murphy (I)",100
"NC-04","Valerie Foushee",100,"Courtney Geels",0
"NC-05","Kyle Parrish",0,"Virginia Foxx (I)",100
"NC-06","Kathy Manning (I)",87,"Christian Castelli",13
"NC-07","Charles Graham",11,"David Rouzer (I)",89
"NC-08","Scott Huffman",0,"Dan Bishop (I)",100
"NC-09","Ben Clark",1,"Richard Hudson (I)",99
"NC-10","Pamela Genant",0,"Patrick McHenry (I)",100
"NC-11","Jasmine Beach-Ferrara",24,"Chuck Edwards",76
"NC-12","Alma Adams (I)",98,"Tyler Lee",2
"NC-13","Wiley Nickel",30,"Bo Hines",70
"NC-14","Jeff Jackson",96,"Pat Harrigan",4
"ND-01","",0,"Kelly Armstrong (I)",100
"NE-01","Patty Pansing Brooks",15,"Mike Flood (I)",85
"NE-02","Tony Vargas",39,"Don Bacon (I)",61
"NE-03","David Else",0,"Adrian Smith (I)",100
"NH-01","Chris Pappas (I)",66,"Karoline Leavitt",34
"NH-02","Annie Kuster (I)",79,"Bob Burns",21
"NJ-01","Donald Norcross (I)",98,"Claire Gustafson",2
"NJ-02","Tim Alexander",0,"Jeff Van Drew (I)",100
"NJ-03","Andrew Kim (I)",99,"Bob Healey",1
"NJ-04","Matthew Jenkins",0,"Chris Smith (I)",100
"NJ-05","Josh Gottheimer (I)",96,"Frank Pallotta",4
"NJ-06","Frank Pallone Jr. (I)",96,"Susan Kiley",4
"NJ-07","Tom Malinowski (I)",68,"Thomas Kean Jr.",32
"NJ-08","Robert Menendez Jr.",99,"Marcos Arroyo",1
"NJ-09","Bill Pascrell (I)",97,"Billy Prempeh",3
"NJ-10","Donald Payne Jr. (I)",100,"David Pinckney",0
"NJ-11","Mike Sherrill (I)",94,"Paul DeGroot",6
"NJ-12","Bonnie Watson Coleman (I)",100,"Darius Mayfield",0
"NM-01","Melanie Ann Stansbury (I)",79,"Michelle Garcia Holmes",21
"NM-02","Gabriel Vasquez",37,"Yvette Herrell (I)",63
"NM-03","Teresa Leger Fernandez (I)",91,"Alexis Martinez Johnson",9
"NV-01","Dina Titus (I)",78,"Mark Robertson",22
"NV-02","Elizabeth Mercedes Krause",0,"Mark Amodei (I)",100
"NV-03","Susie Lee (I)",76,"April Becker",24
"NV-04","Steven Horsford (I)",81,"Sam Peters",19
"NY-01","Bridget Fleming",25,"Nicholas LaLota",75
"NY-02","Jackie Gordon",9,"Andrew Garbarino (I)",91
"NY-03","Robert Zimmerman",22,"George Devolder-Santos",78
"NY-04","Laura Gillen",67,"Anthony D'Esposito",33
"NY-05","Gregory Meeks (I)",100,"Paul King",0
"NY-06","Grace Meng (I)",98,"Thomas Zmich",2
"NY-07","Nydia Velazquez (I)",99,"Juan Pagan",1
"NY-08","Hakeem Jeffries (I)",98,"Yuri Dashevsky",2
"NY-09","Yvette Clarke (I)",100,"",0
"NY-10","Daniel Goldman",92,"Benine Hamdan",8
"NY-11","Max Rose",23,"Nicole Malliotakis (I)",77
"NY-12","Jerrold Nadler (I)",98,"Mike Zumbluskas",2
"NY-13","Adriano Espaillat (I)",100,"",0
"NY-14","Alexandria Ocasio-Cortez (I)",97,"Tina Forte",3
"NY-15","Ritchie Torres (I)",99,"Stylo Sapaskis",1
"NY-16","Jamaal Bowman (I)",100,"Miriam Levitt Flisser",0
"NY-17","Sean Maloney (I)",54,"Michael Lawler",46
"NY-18","Pat Ryan (I)",42,"Colin Schmitt",58
"NY-19","Josh Riley",43,"Marcus Molinaro",57
"NY-20","Paul Tonko (I)",96,"Elizabeth Joy",4
"NY-21","Matt Castelli",10,"Elise Stefanik (I)",90
"NY-22","Francis Conole",60,"Brandon Williams",40
"NY-23","Max Della Pia",0,"Nicholas Langworthy",100
"NY-24","Steven Holden",0,"Claudia Tenney (I)",100
"NY-25","Joseph Morelle (I)",87,"La'Ron Singletary",13
"NY-26","Brian Higgins (I)",99,"Steven Sams",1
"OH-01","Greg Landsman",52,"Steve Chabot (I)",48
"OH-02","Samantha Meadows",0,"Brad Wenstrup (I)",100
"OH-03","Joyce Beatty (I)",100,"Lee Stahley",0
"OH-04","Tamie Wilson",0,"Jim Jordan (I)",100
"OH-05","Craig Swartz",0,"Bob Latta (I)",100
"OH-06","Lou Lyras",0,"Bill Johnson (I)",100
"OH-07","Matthew Diemer",0,"Max Miller",100
"OH-08","Vanessa Enoch",0,"Warren Davidson (I)",100
"OH-09","Marcy Kaptur (I)",54,"J.R. Majewski",46
"OH-10","David Esrati",0,"Michael Turner (I)",100
"OH-11","Shontel Brown (I)",100,"Eric Brewer",0
"OH-12","Amy Rippel-Elton",0,"Troy Balderson (I)",100
"OH-13","Emilia Sykes",23,"Madison Gesiotto Gilbert",77
"OH-14","Matt Kilboy",0,"David Joyce (I)",100
"OH-15","Gary Josephson",0,"Mike Carey (I)",100
"OK-01","Adam Martin",0,"Kevin Hern (I)",100
"OK-02","Naomi Andrews",0,"Josh Brecheen",100
"OK-03","Jeremiah Ross",0,"Frank Lucas (I)",100
"OK-04","Mary Brannon",0,"Tom Cole (I)",100
"OK-05","Joshua Harris-Till",0,"Stephanie Bice (I)",100
"OR-01","Suzanne Bonamici (I)",99,"Chris Mann",1
"OR-02","Joseph Yetter",0,"Cliff Bentz (I)",100
"OR-03","Earl Blumenauer (I)",99,"Joanna Harbour",1
"OR-04","Val Hoyle",48,"Alek Skarlatos",52
"OR-05","Jamie McLeod-Skinner",27,"Lori Chavez-DeRemer",73
"OR-06","Andrea Salinas",59,"Mike Erickson",41
"PA-01","Ashley Ehasz",8,"Brian Fitzpatrick (I)",92
"PA-02","Brendan Boyle (I)",100,"Aaron Bashir",0
"PA-03","Dwight Evans (I)",100,"",0
"PA-04","Madeleine Dean (I)",93,"Christian Nascimento",7
"PA-05","Mary Gay Scanlon (I)",97,"David Galluch",3
"PA-06","Chrissy Houlahan (I)",92,"Guy Ciarrocchi",8
"PA-07","Susan Wild (I)",67,"Lisa Scheller",33
"PA-08","Matt Cartwright (I)",60,"Jim Bognet",40
"PA-09","Amanda Waldman",0,"Dan Meuser (I)",100
"PA-10","Shamaine Daniels",13,"Scott Perry (I)",87
"PA-11","Bob Hollister",3,"Lloyd Smucker (I)",97
"PA-12","Summer Lee",96,"Michael Doyle",4
"PA-13","",0,"John Joyce (I)",100
"PA-14","",0,"Guy Reschenthaler (I)",100
"PA-15","Michael Molesevich",0,"Glenn Thompson (I)",100
"PA-16","Dan Pastore",6.00000000000001,"Mike Kelly (I)",94
"PA-17","Christopher Deluzio",46,"Jeremy Shaffer",54
"RI-01","David Cicilline (I)",99,"Allen Waters",1
"RI-02","Seth Magaziner",28,"Allan Fung",72
"SC-01","Annie Andrews",15,"Nancy Mace (I)",85
"SC-02","Judd Larkins",0,"Joe Wilson (I)",100
"SC-03","",0,"Jeff Duncan (I)",100
"SC-04","",0,"William Timmons (I)",100
"SC-05","Evangeline Hundley",0,"Ralph Norman (I)",100
"SC-06","James Clyburn (I)",98,"Duke Buckner",2
"SC-07","Daryl Scott",0,"Russell Fry",100
"SD-01","",0,"Dusty Johnson (I)",100
"TN-01","Cameron Parsons",1,"Diana Harshbarger (I)",99
"TN-02","Mark Harmon",0,"Tim Burchett (I)",100
"TN-03","Meg Gorman",0,"Charles Fleischmann (I)",100
"TN-04","Wayne Steele",0,"Scott DesJarlais (I)",100
"TN-05","Heidi Campbell",18,"Andy Ogles",82
"TN-06","Randal Cooper",1,"John Rose (I)",99
"TN-07","Odessa Kelly",14,"Mark Green (I)",86
"TN-08","Lynnette Williams",0,"David Kustoff (I)",100
"TN-09","Steve Cohen (I)",99,"Charlotte Bergmann",1
"TX-01","Jrmar Jefferson",0,"Nathaniel Moran",100
"TX-02","Robin Fulford",0,"Daniel Crenshaw (I)",100
"TX-03","Sandeep Srivastava",0,"Keith Self",100
"TX-04","Iro Omere",0,"Pat Fallon (I)",100
"TX-05","Tartisha Hill",0,"Lance Gooden (I)",100
"TX-06","",0,"Jake Ellzey (I)",100
"TX-07","Lizzie Pannill Fletcher (I)",100,"Johnny Teague",0
"TX-08","Laura Jones",0,"Morgan Luttrell",100
"TX-09","Al Green (I)",100,"Jimmy Leon",0
"TX-10","Linda Nuno",0,"Michael McCaul (I)",100
"TX-11","",0,"August Pfluger (I)",100
"TX-12","Trey Hunt",0,"Kay Granger (I)",100
"TX-13","Kathleen Brown",0,"Ronny Jackson (I)",100
"TX-14","Mikal Williams",0,"Randy Weber (I)",100
"TX-15","Michelle Vallejo",27,"Monica De La Cruz",73
"TX-16","Veronica Escobar (I)",97,"Irene Armendariz-Jackson",3
"TX-17","Mary Jo Woods",0,"Peter Sessions (I)",100
"TX-18","Sheila Jackson Lee (I)",99,"Carmen Maria Montiel",1
"TX-19","",0,"Jodey Arrington (I)",100
"TX-20","Joaquin Castro (I)",100,"Kyle Sinclair",0
"TX-21","Claudia Zapata",0,"Chip Roy (I)",100
"TX-22","Jamie Jordan",0,"Troy Nehls (I)",100
"TX-23","John Lira",0,"Tony Gonzales (I)",100
"TX-24","Jan McDowell",0,"Beth Van Duyne (I)",100
"TX-25","",0,"Roger Williams (I)",100
"TX-26","",0,"Michael Burgess (I)",100
"TX-27","Maclovio Perez Jr.",0,"Michael Cloud (I)",100
"TX-28","Henry Cuellar (I)",54,"Cassy Garcia",46
"TX-29","Sylvia Garcia (I)",100,"Robert Schafanek",0
"TX-30","Jasmine Crockett",99,"James Rodgers",1
"TX-31","",0,"John Carter (I)",100
"TX-32","Colin Allred (I)",94,"Antonio Swad",6
"TX-33","Marc Veasey (I)",99,"Patrick Gillespie",1
"TX-34","Vicente Gonzalez Jr. (I)",51,"Mayra Flores (I)",49
"TX-35","Greg Casar",99,"Dan McQueen",1
"TX-36","Jon Haire",0,"Brian Babin (I)",100
"TX-37","Lloyd Doggett (I)",100,"Jenny Garcia Sharon",0
"TX-38","Duncan Klussmann",0,"Wesley Hunt",100
"UT-01","Rick Jones",1,"Blake Moore (I)",99
"UT-02","Nicholas Mitchell",1,"Chris Stewart (I)",99
"UT-03","Glenn Wright",0,"John Curtis (I)",100
"UT-04","Darlene McDonald",6.00000000000001,"Burgess Owens (I)",94
"VA-01","Herb Jones",10,"Robert Wittman (I)",90
"VA-02","Elaine Luria (I)",75,"Jennifer Kiggans",25
"VA-03","Terry Namkung",74,"Robert Scott (I)",26
"VA-04","Ashton Donald McEachin (I)",99,"Leon Benjamin Sr.",1
"VA-05","Joshua Throneburg",8,"Bob Good (I)",92
"VA-06","Jennifer Lewis",0,"Benjamin Lee Cline (I)",100
"VA-07","Abigail Spanberger (I)",75,"Yesli Vega",25
"VA-08","Donald Sternoff Beyer Jr. (I)",100,"Karina Lipsman",0
"VA-09","Taysha DeVaughan",0,"H. Morgan Griffith (I)",100
"VA-10","Jennifer Wexton (I)",70,"Hung Cao",30
"VA-11","Gerald Edward Connolly (I)",99,"James Myles",1
"VT-01","Becca Balint",100,"Liam Madden",0
"WA-01","Suzan DelBene (I)",100,"Vincent Cavaleri",0
"WA-02","Rick Larsen (I)",98,"Dan Matthews",2
"WA-03","Marie Gluesenkamp Perez",29,"Joe Kent",71
"WA-04","Doug White",9,"Dan Newhouse (I)",91
"WA-05","Natasha Hill",0,"Cathy McMorris Rodgers (I)",100
"WA-06","Derek Kilmer (I)",96,"Elizabeth Kreiselmaier",4
"WA-07","Pramila Jayapal (I)",100,"Cliff Moon",0
"WA-08","Kim Schrier (I)",79,"Matt Larkin",21
"WA-09","D. Adam Smith (I)",98,"Douglas Michael Basler",2
"WA-10","Marilyn Strickland (I)",97,"Keith Swank",3
"WI-01","Ann Roe",14,"Bryan Steil (I)",86
"WI-02","Mark Pocan (I)",97,"Erik Olsen",3
"WI-03","Brad Pfaff",12,"Derrick Van Orden",88
"WI-04","Gwen Moore (I)",99,"Tim Rogers",1
"WI-05","Mike Van Someren",0,"Scott Fitzgerald (I)",100
"WI-06","",0,"Glenn Grothman (I)",100
"WI-07","Richard Ausman",0,"Tom Tiffany (I)",100
"WI-08","",0,"Mike Gallagher (I)",100
"WV-01","Lacy Watson",0,"Carol Miller (I)",100
"WV-02","Barry Wendell",1,"Alexander Mooney (I)",99
"WY-01","Lynnette Greybull",0,"Harriet Hageman",100
