pollster,start_date,end_date,sample_size,population,cycle,office_type,election_date,DEM,GOP
USC Dornsife/Los Angeles Times,2020-10-14,2020-10-27,5261,LV,2020,House,2020-11-03,52.39,44.35
Morning Consult,2020-10-24,2020-10-26,12000,LV,2020,House,2020-11-03,50,42
SSRS,2020-10-23,2020-10-26,917,RV,2020,House,2020-11-03,54,42
SSRS,2020-10-23,2020-10-26,886,LV,2020,House,2020-11-03,54,42
Winston,2020-10-23,2020-10-26,1000,RV,2020,House,2020-11-03,47,43
Hofstra University,2020-10-19,2020-10-26,2000,LV,2020,House,2020-11-03,54.5,45.5
YouGov,2020-10-16,2020-10-26,2500,LV,2020,House,2020-11-03,51,40
USC Dornsife/Los Angeles Times,2020-10-13,2020-10-26,5285,LV,2020,House,2020-11-03,51.81,44.92
Morning Consult,2020-10-23,2020-10-25,15509,LV,2020,House,2020-11-03,49,43
YouGov,2020-10-23,2020-10-25,1500,RV,2020,House,2020-11-03,51,38
YouGov,2020-10-23,2020-10-25,1350,LV,2020,House,2020-11-03,54,41
USC Dornsife/Los Angeles Times,2020-10-12,2020-10-25,5348,LV,2020,House,2020-11-03,51.9,44.9
Morning Consult,2020-10-22,2020-10-24,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-10-11,2020-10-24,5333,LV,2020,House,2020-11-03,51.62,45.2
Morning Consult,2020-10-21,2020-10-23,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-10-10,2020-10-23,5225,LV,2020,House,2020-11-03,51.62,45.23
Morning Consult,2020-10-20,2020-10-22,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-10-09,2020-10-22,5273,LV,2020,House,2020-11-03,51.85,45.08
Morning Consult,2020-10-19,2020-10-21,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-10-08,2020-10-21,5309,LV,2020,House,2020-11-03,51.8,44.94
Rethink Priorities,2020-10-20,2020-10-20,4933,LV,2020,House,2020-11-03,47.7,42.4
YouGov,2020-10-18,2020-10-20,1500,RV,2020,House,2020-11-03,47,40
YouGov,2020-10-18,2020-10-20,1343,LV,2020,House,2020-11-03,50,43
Morning Consult,2020-10-18,2020-10-20,15821,LV,2020,House,2020-11-03,50,42
Echelon Insights,2020-10-16,2020-10-20,1006,LV,2020,House,2020-11-03,48,44
USC Dornsife/Los Angeles Times,2020-10-07,2020-10-20,5401,LV,2020,House,2020-11-03,51.89,44.6
Morning Consult,2020-10-17,2020-10-19,12000,LV,2020,House,2020-11-03,50,42
Global Strategy Group/GBAO/Navigator Research,2020-10-15,2020-10-19,1000,RV,2020,House,2020-11-03,51,43
GBAO,2020-10-15,2020-10-19,1150,RV,2020,House,2020-11-03,51,39
USC Dornsife/Los Angeles Times,2020-10-06,2020-10-19,5483,LV,2020,House,2020-11-03,52.06,44.39
YouGov,2020-10-16,2020-10-18,1465,LV,2020,House,2020-11-03,51,40
YouGov,2020-10-16,2020-10-18,1583,RV,2020,House,2020-11-03,47,36
Morning Consult,2020-10-16,2020-10-18,14994,LV,2020,House,2020-11-03,50,42
USC Dornsife/Los Angeles Times,2020-10-05,2020-10-18,5549,LV,2020,House,2020-11-03,52.25,44.27
Morning Consult,2020-10-15,2020-10-17,12000,LV,2020,House,2020-11-03,50,42
USC Dornsife/Los Angeles Times,2020-10-04,2020-10-17,5665,LV,2020,House,2020-11-03,52.33,44.2
Morning Consult,2020-10-14,2020-10-16,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-10-03,2020-10-16,5637,LV,2020,House,2020-11-03,52.39,44.17
Morning Consult,2020-10-13,2020-10-15,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-10-02,2020-10-15,5534,LV,2020,House,2020-11-03,51.99,44.4
Morning Consult,2020-10-12,2020-10-14,15499,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-10-01,2020-10-14,5425,LV,2020,House,2020-11-03,51.85,44.36
YouGov,2020-10-11,2020-10-13,1500,RV,2020,House,2020-11-03,43,37
YouGov,2020-10-11,2020-10-13,1333,LV,2020,House,2020-11-03,49,41
Morning Consult,2020-10-11,2020-10-13,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-09-30,2020-10-13,5249,LV,2020,House,2020-11-03,52.07,44.26
Morning Consult,2020-10-10,2020-10-12,12000,LV,2020,House,2020-11-03,48,43
Hart Research Associates/Public Opinion Strategies,2020-10-09,2020-10-12,1000,RV,2020,House,2020-11-03,47,39
Opinium,2020-10-08,2020-10-12,1747,LV,2020,House,2020-11-03,51,40
USC Dornsife/Los Angeles Times,2020-09-29,2020-10-12,5081,LV,2020,House,2020-11-03,52.34,43.96
YouGov,2020-10-09,2020-10-11,1525,RV,2020,House,2020-11-03,45,38
YouGov,2020-10-09,2020-10-11,1366,LV,2020,House,2020-11-03,48,41
Morning Consult,2020-10-09,2020-10-11,16045,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-28,2020-10-11,5065,LV,2020,House,2020-11-03,52.26,43.94
Morning Consult,2020-10-08,2020-10-10,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-27,2020-10-10,5091,LV,2020,House,2020-11-03,52.12,44.1
Morning Consult,2020-10-07,2020-10-09,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-26,2020-10-09,5198,LV,2020,House,2020-11-03,51.99,44.18
Morning Consult,2020-10-06,2020-10-08,12000,LV,2020,House,2020-11-03,48,42
USC Dornsife/Los Angeles Times,2020-09-25,2020-10-08,5153,LV,2020,House,2020-11-03,51.83,44.24
Morning Consult,2020-10-05,2020-10-07,17249,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-09-24,2020-10-07,5107,LV,2020,House,2020-11-03,51.96,44.26
Morning Consult,2020-10-04,2020-10-06,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-09-23,2020-10-06,4992,LV,2020,House,2020-11-03,51.71,44.46
Morning Consult,2020-10-03,2020-10-05,12000,LV,2020,House,2020-11-03,50,42
Pew Research Center,2020-09-30,2020-10-05,10542,RV,2020,House,2020-11-03,46,40
USC Dornsife/Los Angeles Times,2020-09-22,2020-10-05,4907,LV,2020,House,2020-11-03,51.93,44.31
Morning Consult,2020-10-02,2020-10-04,15478,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-09-21,2020-10-04,4832,LV,2020,House,2020-11-03,52.03,44.19
YouGov,2020-10-02,2020-10-03,1202,RV,2020,House,2020-11-03,51,39
YouGov,2020-10-02,2020-10-03,1088,LV,2020,House,2020-11-03,52,40
Morning Consult,2020-10-01,2020-10-03,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-09-20,2020-10-03,4683,LV,2020,House,2020-11-03,51.65,44.55
John Zogby Strategies/EMI Research Solutions,2020-10-02,2020-10-02,1006,LV,2020,House,2020-11-03,45.8,43
YouGov,2020-10-01,2020-10-02,1505,RV,2020,House,2020-11-03,45,41
YouGov,2020-10-01,2020-10-02,1346,LV,2020,House,2020-11-03,48,40
Morning Consult,2020-09-30,2020-10-02,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-19,2020-10-02,4704,LV,2020,House,2020-11-03,51.75,44.44
Data for Progress,2020-09-30,2020-10-01,1146,LV,2020,House,2020-11-03,49,40
Morning Consult,2020-09-29,2020-10-01,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-18,2020-10-01,4794,LV,2020,House,2020-11-03,51.9,44.41
Morning Consult,2020-09-28,2020-09-30,12000,LV,2020,House,2020-11-03,49,43
YouGov,2020-09-27,2020-09-30,1500,RV,2020,House,2020-11-03,47,40
YouGov,2020-09-27,2020-09-30,1350,LV,2020,House,2020-11-03,48,42
Winston,2020-09-26,2020-09-30,1000,RV,2020,House,2020-11-03,46,42
USC Dornsife/Los Angeles Times,2020-09-17,2020-09-30,4938,LV,2020,House,2020-11-03,51.81,44.21
Morning Consult,2020-09-27,2020-09-29,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-09-16,2020-09-29,5092,LV,2020,House,2020-11-03,51.33,44.56
Morning Consult,2020-09-26,2020-09-28,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-15,2020-09-28,5256,LV,2020,House,2020-11-03,51.39,44.32
Morning Consult,2020-09-25,2020-09-27,12000,LV,2020,House,2020-11-03,48,43
Monmouth University,2020-09-24,2020-09-27,809,RV,2020,House,2020-11-03,50,43
Monmouth University,2020-09-24,2020-09-27,809,LV,2020,House,2020-11-03,50,44
McLaughlin & Associates,2020-09-23,2020-09-27,1000,LV,2020,House,2020-11-03,48,46
USC Dornsife/Los Angeles Times,2020-09-14,2020-09-27,5248,LV,2020,House,2020-11-03,51.33,44.35
Morning Consult,2020-09-24,2020-09-26,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-13,2020-09-26,5251,LV,2020,House,2020-11-03,51.17,44.54
Morning Consult,2020-09-23,2020-09-25,12000,LV,2020,House,2020-11-03,48,43
Echelon Insights,2020-09-19,2020-09-25,1018,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-12,2020-09-25,5323,LV,2020,House,2020-11-03,50.99,44.74
Morning Consult,2020-09-22,2020-09-24,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-09-11,2020-09-24,5370,LV,2020,House,2020-11-03,50.98,44.64
YouGov,2020-09-21,2020-09-23,1284,RV,2020,House,2020-11-03,48,40
YouGov,2020-09-21,2020-09-23,1124,LV,2020,House,2020-11-03,49,40
Morning Consult,2020-09-21,2020-09-23,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-09-10,2020-09-23,5362,LV,2020,House,2020-11-03,50.9,44.63
YouGov,2020-09-20,2020-09-22,1282,RV,2020,House,2020-11-03,47,40
YouGov,2020-09-20,2020-09-22,1124,LV,2020,House,2020-11-03,47,43
Morning Consult,2020-09-20,2020-09-22,12000,LV,2020,House,2020-11-03,49,43
Hofstra University,2020-09-14,2020-09-22,2000,LV,2020,House,2020-11-03,55.3,44.7
USC Dornsife/Los Angeles Times,2020-09-09,2020-09-22,5432,LV,2020,House,2020-11-03,50.82,44.77
Morning Consult,2020-09-19,2020-09-21,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-09-08,2020-09-21,5474,LV,2020,House,2020-11-03,50.65,44.76
Morning Consult,2020-09-18,2020-09-20,1989,RV,2020,House,2020-11-03,47,41
Morning Consult,2020-09-18,2020-09-20,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-09-07,2020-09-20,5438,LV,2020,House,2020-11-03,50.45,44.75
Morning Consult,2020-09-17,2020-09-19,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-09-06,2020-09-19,5447,LV,2020,House,2020-11-03,50.71,44.5
Morning Consult,2020-09-16,2020-09-18,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-05,2020-09-18,5439,LV,2020,House,2020-11-03,50.43,44.74
YouGov,2020-09-15,2020-09-17,1227,RV,2020,House,2020-11-03,47,40
Morning Consult,2020-09-15,2020-09-17,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-04,2020-09-17,5458,LV,2020,House,2020-11-03,50.3,44.9
Morning Consult,2020-09-14,2020-09-16,12000,LV,2020,House,2020-11-03,48,43
Hart Research Associates/Public Opinion Strategies,2020-09-13,2020-09-16,1000,RV,2020,House,2020-11-03,49,42
GBAO,2020-09-12,2020-09-16,1150,RV,2020,House,2020-11-03,49,40
USC Dornsife/Los Angeles Times,2020-09-03,2020-09-16,5416,LV,2020,House,2020-11-03,50.27,45
YouGov,2020-09-13,2020-09-15,1192,RV,2020,House,2020-11-03,47,40
YouGov,2020-09-13,2020-09-15,1062,LV,2020,House,2020-11-03,48,41
Morning Consult,2020-09-13,2020-09-15,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-09-02,2020-09-15,5408,LV,2020,House,2020-11-03,50.43,44.9
Morning Consult,2020-09-12,2020-09-14,12000,LV,2020,House,2020-11-03,48,44
USC Dornsife/Los Angeles Times,2020-09-01,2020-09-14,5373,LV,2020,House,2020-11-03,50.53,45.05
Morning Consult,2020-09-11,2020-09-13,12000,LV,2020,House,2020-11-03,48,42
USC Dornsife/Los Angeles Times,2020-08-31,2020-09-13,5387,LV,2020,House,2020-11-03,50.43,44.93
RMG Research,2020-09-10,2020-09-12,941,LV,2020,House,2020-11-03,46,41
Morning Consult,2020-09-10,2020-09-12,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-08-30,2020-09-12,5366,LV,2020,House,2020-11-03,50.55,44.68
YouGov,2020-09-09,2020-09-11,1219,RV,2020,House,2020-11-03,49,38
Morning Consult,2020-09-09,2020-09-11,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-08-29,2020-09-11,5251,LV,2020,House,2020-11-03,51.04,44.13
Morning Consult,2020-09-08,2020-09-10,12000,LV,2020,House,2020-11-03,48,43
Opinium,2020-09-04,2020-09-10,1153,LV,2020,House,2020-11-03,53.03,45.52
USC Dornsife/Los Angeles Times,2020-08-28,2020-09-10,5214,LV,2020,House,2020-11-03,50.99,44.24
Climate Nexus,2020-09-08,2020-09-09,1244,LV,2020,House,2020-11-03,51,41
Morning Consult,2020-09-07,2020-09-09,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-08-27,2020-09-09,5235,LV,2020,House,2020-11-03,50.83,44.15
YouGov,2020-09-06,2020-09-08,1183,RV,2020,House,2020-11-03,46,39
YouGov,2020-09-06,2020-09-08,1057,LV,2020,House,2020-11-03,48,41
Morning Consult,2020-09-06,2020-09-08,12000,LV,2020,House,2020-11-03,48,43
Monmouth University,2020-09-03,2020-09-08,758,RV,2020,House,2020-11-03,49,43
Monmouth University,2020-09-03,2020-09-08,758,LV,2020,House,2020-11-03,49,45
USC Dornsife/Los Angeles Times,2020-08-26,2020-09-08,5195,LV,2020,House,2020-11-03,51.15,43.91
Morning Consult,2020-09-05,2020-09-07,12000,LV,2020,House,2020-11-03,48,42
Hart Research Associates/Public Opinion Strategies,2020-09-03,2020-09-07,1202,LV,2020,House,2020-11-03,50,42
USC Dornsife/Los Angeles Times,2020-08-25,2020-09-07,5138,LV,2020,House,2020-11-03,50.92,44.15
Morning Consult,2020-09-04,2020-09-06,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-08-24,2020-09-06,5157,LV,2020,House,2020-11-03,51.17,44
Morning Consult,2020-09-03,2020-09-05,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-08-23,2020-09-05,5125,LV,2020,House,2020-11-03,51.04,44.01
Morning Consult,2020-09-02,2020-09-04,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-08-22,2020-09-04,5125,LV,2020,House,2020-11-03,51.31,43.92
Morning Consult,2020-09-01,2020-09-03,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-08-21,2020-09-03,5109,LV,2020,House,2020-11-03,51.26,43.84
Morning Consult,2020-08-31,2020-09-02,12000,LV,2020,House,2020-11-03,49,43
USC Dornsife/Los Angeles Times,2020-08-20,2020-09-02,5091,LV,2020,House,2020-11-03,51.39,43.95
YouGov,2020-08-30,2020-09-01,1209,RV,2020,House,2020-11-03,51,38
Morning Consult,2020-08-30,2020-09-01,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-08-19,2020-09-01,5070,LV,2020,House,2020-11-03,51.68,43.49
Morning Consult,2020-08-29,2020-08-31,12000,LV,2020,House,2020-11-03,48,43
Suffolk University,2020-08-28,2020-08-31,1000,RV,2020,House,2020-11-03,47.5,42.2
USC Dornsife/Los Angeles Times,2020-08-18,2020-08-31,5003,LV,2020,House,2020-11-03,51.65,43.35
Morning Consult,2020-08-28,2020-08-30,12000,LV,2020,House,2020-11-03,48,43
Selzer & Co.,2020-08-26,2020-08-30,827,LV,2020,House,2020-11-03,48,41
USC Dornsife/Los Angeles Times,2020-08-17,2020-08-30,4905,LV,2020,House,2020-11-03,51.73,43.4
Morning Consult,2020-08-27,2020-08-29,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-08-16,2020-08-29,4863,LV,2020,House,2020-11-03,51.89,43.23
YouGov,2020-08-27,2020-08-28,807,RV,2020,House,2020-11-03,49,38
Morning Consult,2020-08-26,2020-08-28,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-08-15,2020-08-28,4797,LV,2020,House,2020-11-03,51.38,43.6
Morning Consult,2020-08-25,2020-08-27,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-08-14,2020-08-27,4731,LV,2020,House,2020-11-03,51.61,43.43
Morning Consult,2020-08-24,2020-08-26,12000,LV,2020,House,2020-11-03,49,42
McLaughlin & Associates,2020-08-22,2020-08-26,1000,LV,2020,House,2020-11-03,47,46
Opinium,2020-08-21,2020-08-26,1180,LV,2020,House,2020-11-03,55.59,42.57
USC Dornsife/Los Angeles Times,2020-08-13,2020-08-26,4630,LV,2020,House,2020-11-03,51.77,43.5
YouGov,2020-08-23,2020-08-25,1256,RV,2020,House,2020-11-03,47,39
Morning Consult,2020-08-23,2020-08-25,12000,LV,2020,House,2020-11-03,49,42
USC Dornsife/Los Angeles Times,2020-08-12,2020-08-25,4511,LV,2020,House,2020-11-03,51.71,43.59
Morning Consult,2020-08-22,2020-08-24,12000,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-08-11,2020-08-24,4321,LV,2020,House,2020-11-03,51.94,43.51
YouGov,2020-08-21,2020-08-23,904,RV,2020,House,2020-11-03,50,39
Morning Consult,2020-08-21,2020-08-23,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-08-20,2020-08-22,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-08-19,2020-08-21,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-08-18,2020-08-20,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-08-17,2020-08-19,12000,LV,2020,House,2020-11-03,48,42
YouGov,2020-08-16,2020-08-18,1246,RV,2020,House,2020-11-03,49,38
Morning Consult,2020-08-16,2020-08-18,12000,LV,2020,House,2020-11-03,48,42
Echelon Insights,2020-08-14,2020-08-18,1000,LV,2020,House,2020-11-03,49,40
Morning Consult,2020-08-15,2020-08-17,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-08-14,2020-08-16,12000,LV,2020,House,2020-11-03,48,42
YouGov,2020-08-14,2020-08-15,1158,RV,2020,House,2020-11-03,49,38
Morning Consult,2020-08-13,2020-08-15,12000,LV,2020,House,2020-11-03,48,42
Data for Progress,2020-08-13,2020-08-14,1143,LV,2020,House,2020-11-03,47,40
Morning Consult,2020-08-12,2020-08-14,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-08-11,2020-08-13,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-08-10,2020-08-12,12000,LV,2020,House,2020-11-03,48,42
Hart Research Associates/Public Opinion Strategies,2020-08-09,2020-08-12,900,RV,2020,House,2020-11-03,47,42
YouGov,2020-08-09,2020-08-11,1208,RV,2020,House,2020-11-03,49,39
Morning Consult,2020-08-09,2020-08-11,12000,LV,2020,House,2020-11-03,48,43
Marist College,2020-08-03,2020-08-11,1118,RV,2020,House,2020-11-03,49,43
Morning Consult,2020-08-08,2020-08-10,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-08-04,2020-08-10,2200,A,2020,House,2020-11-03,45,35
Morning Consult,2020-08-07,2020-08-09,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-08-06,2020-08-08,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-08-05,2020-08-07,12000,LV,2020,House,2020-11-03,49,41
Morning Consult,2020-08-04,2020-08-06,12000,LV,2020,House,2020-11-03,49,42
Lake Research Partners,2020-08-01,2020-08-06,1000,LV,2020,House,2020-11-03,50.12,43.58
Morning Consult,2020-08-03,2020-08-05,12000,LV,2020,House,2020-11-03,49,41
YouGov,2020-08-02,2020-08-04,1229,RV,2020,House,2020-11-03,50,38
Morning Consult,2020-08-02,2020-08-04,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-08-01,2020-08-03,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-31,2020-08-02,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-07-30,2020-08-01,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-29,2020-07-31,12000,LV,2020,House,2020-11-03,48,43
Emerson College Polling Society,2020-07-29,2020-07-30,964,LV,2020,House,2020-11-03,46.31,40.59
YouGov,2020-07-28,2020-07-30,1086,RV,2020,House,2020-11-03,49,39
Morning Consult,2020-07-28,2020-07-30,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-27,2020-07-29,12000,LV,2020,House,2020-11-03,48,42
Ipsos,2020-07-27,2020-07-28,1115,A,2020,House,2020-11-03,43.6,35.4
Ipsos,2020-07-27,2020-07-28,947,RV,2020,House,2020-11-03,47,39.1
YouGov,2020-07-26,2020-07-28,1260,RV,2020,House,2020-11-03,48,40
Morning Consult,2020-07-26,2020-07-28,12000,LV,2020,House,2020-11-03,48,42
Optimus,2020-07-24,2020-07-28,1039,A,2020,House,2020-11-03,38.2,29.6
Optimus,2020-07-24,2020-07-28,914,LV,2020,House,2020-11-03,44.7,38.1
Morning Consult,2020-07-25,2020-07-27,12000,LV,2020,House,2020-11-03,48,42
Fox News/Beacon Research/Shaw & Co. Research,2020-07-23,2020-07-27,1504,RV,2020,House,2020-11-03,47,41
Morning Consult,2020-07-24,2020-07-26,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-23,2020-07-25,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-22,2020-07-24,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-07-21,2020-07-23,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-07-20,2020-07-22,12000,LV,2020,House,2020-11-03,49,42
Echelon Insights,2020-07-17,2020-07-22,1000,LV,2020,House,2020-11-03,51,37
YouGov,2020-07-19,2020-07-21,1222,RV,2020,House,2020-11-03,47,40
Morning Consult,2020-07-19,2020-07-21,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-07-18,2020-07-20,12000,LV,2020,House,2020-11-03,49,41
Morning Consult,2020-07-17,2020-07-19,1991,RV,2020,House,2020-11-03,47,37
Morning Consult,2020-07-17,2020-07-19,12000,LV,2020,House,2020-11-03,48,42
Greenberg Quinlan Rosner,2020-07-15,2020-07-19,1000,RV,2020,House,2020-11-03,53,46
Morning Consult,2020-07-16,2020-07-18,12000,LV,2020,House,2020-11-03,48,42
Winston,2020-07-16,2020-07-18,1000,RV,2020,House,2020-11-03,47,41
Benenson Strategy Group/GS Strategy Group,2020-07-15,2020-07-18,1301,LV,2020,House,2020-11-03,48,39
Morning Consult,2020-07-15,2020-07-17,12000,LV,2020,House,2020-11-03,47,43
Morning Consult,2020-07-14,2020-07-16,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-07-13,2020-07-15,12000,LV,2020,House,2020-11-03,48,42
YouGov,2020-07-12,2020-07-14,1252,RV,2020,House,2020-11-03,48,40
Morning Consult,2020-07-12,2020-07-14,12000,LV,2020,House,2020-11-03,49,42
YouGov,2020-07-11,2020-07-14,1078,RV,2020,House,2020-11-03,48,38
Morning Consult,2020-07-11,2020-07-13,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-07-10,2020-07-12,12000,LV,2020,House,2020-11-03,48,42
Hart Research Associates/Public Opinion Strategies,2020-07-09,2020-07-12,900,RV,2020,House,2020-11-03,47,43
Morning Consult,2020-07-09,2020-07-11,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-07-08,2020-07-10,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-07,2020-07-09,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-06,2020-07-08,12000,LV,2020,House,2020-11-03,49,41
YouGov,2020-07-05,2020-07-07,1165,RV,2020,House,2020-11-03,51,40
Morning Consult,2020-07-05,2020-07-07,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-07-04,2020-07-06,12000,LV,2020,House,2020-11-03,48,42
Morning Consult,2020-07-03,2020-07-05,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-07-02,2020-07-04,12000,LV,2020,House,2020-11-03,48,43
Morning Consult,2020-07-01,2020-07-03,12000,LV,2020,House,2020-11-03,49,42
Morning Consult,2020-06-30,2020-07-02,12000,LV,2020,House,2020-11-03,49,42
