State,District,DATE,POLL,SAMPLE.SIZE,DEMOCRAT,REPUBLICAN
HI,1,Oct. 4-6,"Global Strategy Group
                      
                        DEM",400 LV,48,44
HI,1,Oct. 2-3,PPP,641 LV,48,47
HI,1,July 26-27,"Tarrance
                      
                        REP",400 LV,42,50
HI,2,Oct. 12-19,Honolulu Advertiser,192 LV,77,16
IA,1,Aug. 30-Sept. 2,"Voter Consumer Research
                      
                        REP",300 RV,50,39
IA,2,Oct. 18-19,"Tarrance
                      
                        REP",300 LV,44,45
IA,2,Sept. 13-14,"Tarrance
                      
                        REP",400 LV,41,40
IA,2,Aug. 30-Sept. 2,"Voter Consumer Research
                      
                        REP",300 RV,47,39
IA,2,June 23-25,"Susquehanna
                      
                        REP",288 LV,46,41
IA,3,Oct. 19-21,Penn Schoen Berland,404 LV,49,37
IA,3,Oct. 3-5,"Anzalone
                      
                        DEM",500 LV,47,38
IA,3,Oct. 3-4,"Bennett Petts Blumenthal
                      
                        DEM",400 LV,49,41
IA,3,Aug. 30-Sept. 2,"Voter Consumer Research
                      
                        REP",300 RV,48,39
IA,3,Aug. 16-18,"Ayres
                      
                        REP",400 LV,41,51
IA,3,Aug. 4-5,"Victory Enterprises
                      
                        REP",300 LV,38,45
IA,3,17-Jun,"Victory Enterprises
                      
                        REP",400 LV,31.8,41
ID,1,Oct. 28-30,Greg Smith,400 LV,48,38
ID,1,Oct. 20-22,Mason-Dixon,400 LV,44,41
ID,1,Oct. 5-6,"Moore Information
                      
                        REP",300 RV,37,31
ID,1,Sept. 13-15,Mason-Dixon,400 LV,46,36
ID,1,Sept. 1-9,Qualtrics,"1,347 RV",59.8,29.6
ID,1,29-Jul,"GS Strategy Group
                      
                        REP",400 LV,52,29
ID,1,July 12-13,"Moore Information
                      
                        REP",300 LV,37,27
ID,1,June 7-8,Greg Smith,400 RV,29,40
ID,2,Oct. 20-22,Mason-Dixon,300 LV,17,67
ID,2,Sept. 13-15,Mason-Dixon,300 LV,23,51
IL,8,Oct. 31,"We Ask America
                      
                        REP",773 LV,46,49
IL,8,Sept. 28,"We Ask America
                      
                        REP","1,381 RV",41.1,41.1
IL,8,Feb. 18,"We Ask America
                      
                        REP",827 RV,37.6,38.3
IL,9,Oct. 12,"Magellan
                      
                        REP",945 LV,48,30
IL,10,Oct. 31,"We Ask America
                      
                        REP",861 LV,46,54
IL,10,Oct. 15,"We Ask America
                      
                        REP","1,148 LV",39,50
IL,10,Oct. 2-7,Penn Schoen Berland,405 LV,49,37
IL,10,Aug. 30-Sept. 2,"Anzalone
                      
                        DEM",500 LV,49,36
IL,10,Aug. 4,"We Ask America
                      
                        REP","1,015 RV",43.2,40
IL,10,May 12-17,"Anzalone
                      
                        DEM",502 LV,46,38
IL,10,Feb. 18,"We Ask America
                      
                        REP",878 RV,40.9,37.4
IL,11,Oct. 31,"We Ask America
                      
                        REP",829 LV,45,55
IL,11,Oct. 5-7,"Anzalone
                      
                        DEM",500 LV,41,45
IL,11,Sept. 28-30,Penn Schoen Berland,401 LV,31,49
IL,11,Aug. 4-5,"Public Opinion Strategies
                      
                        REP",400 LV,40,51
IL,11,Aug. 4,"We Ask America
                      
                        REP","1,015 RV",31.7,51.6
IL,11,March 21-22,"Public Opinion Strategies
                      
                        REP",400 LV,38,44
IL,11,Feb. 18,"We Ask America
                      
                        REP",804 RV,30.2,42
IL,13,July 27-28,"American Viewpoint
                      
                        REP",400 LV,28,61
IL,13,June 28-30,"Global Strategy Group
                      
                        DEM",400 LV,29,55
IL,14,Oct. 31,"We Ask America
                      
                        REP",784 LV,45,50
IL,14,Oct. 9-12,Penn Schoen Berland,406 LV,42,43
IL,14,Oct. 4-6,"Benenson
                      
                        DEM",400 LV,48,38
IL,14,Oct. 3-4,"Tarrance
                      
                        REP",400 LV,38,44
IL,14,Aug. 4,"We Ask America
                      
                        REP","1,028 RV",37.1,44.1
IL,14,May 3-4,"Tarrance
                      
                        REP",300 LV,44,45
IL,14,Feb. 18,"We Ask America
                      
                        REP",817 RV,36.5,37.8
IL,17,Oct. 31,"We Ask America
                      
                        REP","1,103 LV",44,52
IL,17,Oct. 12-14,Penn Schoen Berland,417 LV,38,45
IL,17,Sept. 26-27,"Public Opinion Strategies
                      
                        REP",400 LV,39,37
IL,17,Sept. 23-25,"Tarrance
                      
                        REP",400 LV,43,44
IL,17,Sept. 8,"We Ask America
                      
                        REP","1,250 RV",38.4,41.1
IL,17,Aug. 1-2,"Public Opinion Strategies
                      
                        REP",300 LV,33,31
IL,17,12-Jul,"Magellan
                      
                        REP",715 LV,32,45
IL,17,Feb. 18,"We Ask America
                      
                        REP","1,056 RV",38.8,31.7
IN,2,Oct. 19-21,EPIC/MRA,400 LV,48,43
IN,2,Oct. 1-3,EPIC/MRA,400 LV,48,39
IN,2,Aug. 16-19,"Ayres
                      
                        REP",400 LV,46,44
IN,2,July 31-Aug. 3,"The Polling Company
                      
                        REP",309 RV,52,35
IN,3,Oct. 27-28,"Riggs Research
                      
                        DEM",400 LV,40,36
IN,3,Oct. 21-25,SurveyUSA,400 LV,32,57
IN,3,July 19-20,"American Viewpoint
                      
                        REP",400 LV,29,56
IN,7,Oct. 19-21,EPIC/MRA,400 LV,50,37
IN,7,Oct. 1-3,EPIC/MRA,400 LV,50,33
IN,8,Sept. 13-14,"OnMessage
                      
                        REP",400 LV,20,41
IN,8,July 21-22,"Public Opinion Strategies
                      
                        REP",400 LV,27,43
IN,9,Oct. 16-19,Penn Schoen Berland,400 LV,46,44
IN,9,July 26-28,"Public Opinion Strategies
                      
                        REP",300 LV,42,41
IN,9,May 24-25,"Public Opinion Strategies
                      
                        REP",300 LV,41,34
KS,1,Oct. 5-6,SurveyUSA,541 LV,26,63
KS,1,Aug. 5-8,SurveyUSA,542 LV,23,65
KS,4,Oct. 25-28,SurveyUSA,534 LV,38,54
KS,4,Oct. 10-11,"Cole Hargrave
                      
                        REP",300 LV,31,48
KS,4,Oct. 6-7,SurveyUSA,539 LV,40,53
KS,4,Sept. 14-15,SurveyUSA,538 LV,40,50
KS,4,Sept. 8-9,"Gerstein Agne
                      
                        DEM",500 LV,44,46
KS,4,Aug. 10-12,"Gerstein Agne
                      
                        DEM",500 LV,47,50
KS,4,Aug. 9-11,SurveyUSA,604 LV,42,49
KY,3,Oct. 21-25,SurveyUSA,588 LV,50,46
KY,3,Oct. 19-23,"Rivercity Polling
                      
                        REP",239 LV,41,37
KY,3,Oct. 18-19,Braun Research,504 LV,58,31
KY,3,Sept. 20-21,Braun Research,500 LV,53,30
KY,3,Aug. 27-30,SurveyUSA,541 LV,47,45
KY,3,Aug. 9-10,Braun Research,502 LV,52,29
KY,3,June 20-29,"Rivercity Polling
                      
                        REP",300 LV,44,43
KY,3,June 21-23,"Cooper & Secrest
                      
                        DEM",566 LV,58,32
KY,6,Oct. 15-19,Mason-Dixon,500 LV,48,44
KY,6,Oct. 4-5,"Tarrance
                      
                        REP",400 LV,47,48
KY,6,Sept. 29-30,"Mellman
                      
                        DEM",400 LV,52,40
KY,6,Sept. 21-22,Braun Research,508 LV,51,37
KY,6,Sept. 20-21,"Tarrance
                      
                        REP",407 LV,49,42
KY,6,Sept. 13-14,"Mellman
                      
                        DEM",400 LV,53,33
KY,6,Sept. 6-8,"Grove
                      
                        DEM",400 LV,52,38
KY,6,July 26-27,Braun Research,503 LV,46,32
KY,6,May 24-25,"Tarrance
                      
                        REP",405 LV,45,38
LA,2,Oct. 20-21,"Anzalone
                      
                        DEM",400 LV,49,32
LA,2,Oct. 20,"Zata3
                      
                        DEM",500 LV,53,36
LA,2,Oct. 2-3,PPP,605 LV,49,38
LA,2,Sept. 12-15,"Anzalone
                      
                        DEM",500 LV,45,35
LA,2,May 27-June 2,"Market Research Insight
                      
                        REP",400 LV,26,51
MA,4,Oct. 17-22,UNH,385 LV,46,33
MA,4,Oct. 14-17,Fleming & Associates,400 LV,49,37
MA,4,Oct. 13-14,"Kiley & Company
                      
                        DEM",500 LV,56,37
MA,4,Sept. 21,"OnMessage
                      
                        REP",400 LV,48,38
MA,10,Oct. 17-22,UNH,349 LV,37,33
MA,10,Oct. 13-15,MassINC Polling Group,400 LV,46,43
MA,10,Oct. 6-7,"NMB Research
                      
                        REP",400 LV,42,44
MD,1,Oct. 15-20,Baltimore Sun,520 LV,40,40
MD,1,Oct. 16-19,Monmouth U.,637 LV,42,53
MD,1,Sept. 28-30,Penn Schoen Berland,400 LV,40,43
MD,1,Sept. 20-21,"OnMessage
                      
                        REP",400 LV,39,43
MD,1,Sept. 12-13,"Garin Hart Yang
                      
                        DEM",400 LV,45,39
MD,1,June 15-16,"Garin Hart Yang
                      
                        DEM",403 LV,44,39
MD,1,April 25-26,"Public Opinion Strategies
                      
                        REP",400 LV,36,39
MD,1,"Nov. 15-17, 2009","Tarrance
                      
                        REP",300 LV,39,52
ME,1,Oct. 27-28,Critical Insights,295 LV,41,45
ME,1,Oct. 13-17,Critical Insights,295 RV,45,40
ME,1,Oct. 11-15,Pan Atlantic/SMS,250 LV,49,33
ME,1,Oct. 10-11,Critical Insights,305 LV,48,33
ME,1,Oct. 4-7,"Maine Center for Public Opinion
                      
                        REP",346 LV,46,38
ME,1,Sept. 27,Critical Insights,202 RV,54,26
ME,1,Sept. 13,Critical Insights,316 LV,53,29
ME,1,Sept. 2-6,PPP,790 LV,47,38
ME,2,Oct. 27-28,Critical Insights,326 LV,44,40
ME,2,Oct. 13-17,Critical Insights,305 RV,49,30
ME,2,Oct. 11-15,Pan Atlantic/SMS,250 LV,49,29
ME,2,Oct. 10-11,Critical Insights,300 LV,43,30
ME,2,Sept. 27,Critical Insights,202 RV,44,32
ME,2,Sept. 13,Critical Insights,287 LV,48,28
ME,2,Sept. 2-6,PPP,678 LV,45,38
MI,1,Oct. 17-18,EPIC/MRA,400 LV,40,42
MI,1,Oct. 2-7,Penn Schoen Berland,401 LV,39,42
MI,1,Sept. 21-22,GQR / Democracy Corps,505 LV,38,41
MI,1,Sept. 19-21,"Hill Research Consultants
                      
                        REP",400 LV,24,40
MI,1,Aug. 31-Sept. 2,"TargetPoint
                      
                        REP",406 LV,34,51
MI,1,Aug. 4,"We Ask America
                      
                        REP","1,016 RV",28.7,44.8
MI,3,Oct. 19-20,"Public Opinion Strategies
                      
                        REP",400 LV,30,49
MI,3,Oct. 16-19,EPIC/MRA,400 LV,37,46
MI,3,Aug. 4,"We Ask America
                      
                        REP","1,006 RV",30.5,50.5
MI,7,Oct. 24-26,MRG,400 LV,50,43
MI,7,Oct. 20-21,"National Research
                      
                        REP",300 LV,36,49
MI,7,Oct. 16-17,EPIC/MRA,400 LV,45,39
MI,7,Oct. 3-4,"Myers
                      
                        DEM",500 LV,44,40
MI,7,Sept. 25-27,Penn Schoen Berland,404 LV,41,41
MI,7,Sept. 20,Rossman Group,300 LV,38,42
MI,7,Sept. 19-20,"Myers
                      
                        DEM",500 LV,45,43
MI,7,Aug. 16-18,"Ayres
                      
                        REP",400 LV,40,50
MI,7,Aug. 4,"We Ask America
                      
                        REP","1,008 RV",37.4,44.9
MI,7,Jan. 11-12,"National Research
                      
                        REP",300 LV,40,50
MI,9,Oct. 27,"Great Lakes Strategies
                      
                        REP",700 LV,43,48
MI,9,Oct. 16-17,EPIC/MRA,400 LV,48,43
MI,9,Sept. 13,Rossman Group,300 LV,40.7,45
MI,15,Oct. 16-19,EPIC/MRA,400 LV,53,36
MI,15,Oct. 4,Rossman Group,300 LV,40,44
MI,15,Sept. 15-16,Glengariff Group,400 LV,49.3,30.3
MN,1,Oct. 22-26,SurveyUSA,558 LV,50,41
MN,1,Oct. 18-19,"Grove
                      
                        DEM",400 LV,50,34
MN,1,Oct. 12-14,SurveyUSA,584 LV,47,42
MN,3,July 20-22,"Lake Snell Perry
                      
                        DEM",400 LV,22,44
MN,6,Sept. 13-15,SurveyUSA,582 LV,40,49
MN,6,July 9-11,SurveyUSA,565 LV,39,48
MN,6,"Dec. 17-20, 2009",PPP,719 RV,37,55
MN,7,Sept. 28,"Global Strategy Group
                      
                        DEM",404 LV,54,20
MN,8,Oct. 25-28,SurveyUSA,665 LV,47,46
MN,8,Sept. 28-29,"Public Opinion Strategies
                      
                        REP",300 LV,45,42
MO,3,Aug. 16-21,"Ayres
                      
                        REP",400 LV,54,38
MO,3,Aug. 17,"We Ask America
                      
                        REP","1,089 RV",48.1,38.8
MO,4,Oct. 20-27,Missouri State U.,157 LV,45.7,38.8
MO,4,Oct. 17-18,"Wilson
                      
                        REP",300 LV,42,42
MO,4,Aug. 6-22,Missouri State U.,187 RV,47,35
MO,4,Aug. 17,"We Ask America
                      
                        REP","1,207 RV",45.2,41.7
MO,5,Oct. 5,"Pulse Opinion Research
                      
                        REP",500 LV,52,43
MO,7,Oct. 20-27,Missouri State U.,199 LV,22.8,56.2
MO,7,Aug. 6-22,Missouri State U.,198 RV,23,51
MO,8,Aug. 6-22,Missouri State U.,171 RV,17,64
MO,8,April 19-20,"American Viewpoint
                      
                        REP",400 LV,18,71
MS,1,Oct. 9-17,Penn Schoen Berland,603 LV,39,44
MS,1,Oct. 4-5,"Tarrance
                      
                        REP",300 LV,40,51
MS,1,Sept. 13-14,"Tarrance
                      
                        REP",300 LV,41,48
MS,1,Aug. 30-Sept. 1,"Anzalone
                      
                        DEM",400 LV,46,41
MS,1,June 8-9,"Tarrance
                      
                        REP",303 LV,42,50
MS,2,Oct. 18-23,JMC,467 LV,42,41
MS,2,Sept. 11-17,JMC,441 RV,35,34
MS,4,Oct. 18-19,"Tarrance
                      
                        REP",300 LV,41,43
MS,4,Sept. 21-22,"Tarrance
                      
                        REP",400 LV,45,41
NC,2,Oct. 21-24,SurveyUSA,400 RV,41,46
NC,2,June 15-16,SurveyUSA,400 RV,38,39
NC,4,Aug. 11,"Action Solutions
                      
                        REP","1,038 RV",46.1,46.5
NC,7,Oct. 3-4,"Grove
                      
                        DEM",400 LV,52,41
NC,7,Sept. 24-26,SurveyUSA,450 RV,45,46
NC,7,Aug. 31-Sept. 2,"Public Opinion Strategies
                      
                        REP",400 LV,41,48
NC,8,Oct. 1-3,SurveyUSA,450 RV,46,45
NC,8,Aug. 29-30,"Public Opinion Strategies
                      
                        REP",400 LV,39,34
NC,8,Aug. 25-29,"GQR / Democracy Corps
                      
                        DEM",400 LV,48,36
NC,8,Aug. 19-24,"Anzalone
                      
                        DEM",500 LV,49,32
NC,8,June 10-13,PPP,400 RV,41,35
NC,8,Jan. 9-11,PPP,744 RV,53,39
NC,11,Oct. 17-19,"Greenberg Quinlan Rosner
                      
                        DEM",401 LV,54,39
NC,11,Oct. 4-6,"Greenberg Quinlan Rosner
                      
                        DEM",413 LV,54,41
NC,11,July 22-25,SurveyUSA,400 RV,45,44
NC,11,July 8-13,"Anzalone
                      
                        DEM",500 LV,51,34
NC,11,June 1-3,"Public Opinion Strategies
                      
                        REP",300 LV,46,34
ND,1,Oct. 24-25,"Public Opinion Strategies
                      
                        REP",400 LV,42,51
ND,1,Oct. 18-19,Rasmussen (Pulse Opinion Research),500 LV,42,52
ND,1,Oct. 16-19,Penn Schoen Berland,398 LV,45,44
ND,1,Sept. 20-21,Rasmussen (Pulse Opinion Research),500 LV,45,48
ND,1,Sept. 10-12,"Garin Hart Yang
                      
                        DEM",501 LV,46,44
ND,1,Aug. 10-11,Rasmussen (Pulse Opinion Research),500 LV,44,53
ND,1,July 21-22,Rasmussen (Pulse Opinion Research),500 LV,46,49
ND,1,June 15-16,Rasmussen (Pulse Opinion Research),500 LV,44,51
ND,1,May 18-19,Rasmussen (Pulse Opinion Research),500 LV,43,52
ND,1,20-Apr,Rasmussen (Pulse Opinion Research),500 LV,45,49
ND,1,March 23-24,Rasmussen (Pulse Opinion Research),500 LV,44,51
ND,1,Feb. 9-11,Rasmussen (Pulse Opinion Research),500 LV,40,46
NE,2,Oct. 17-21,Wiese Research Associates,607 RV,39,44
NE,2,Oct. 17-21,Wiese Research Associates,450 LV,40,48
NH,1,Oct. 27-31,UNH,434 LV,39,46
NH,1,Oct. 9-12,Penn Schoen Berland,407 LV,42,47
NH,1,Oct. 7-12,UNH,339 LV,36,48
NH,1,Sept. 23-29,UNH,238 LV,39,49
NH,1,Sept. 22-26,American Research Group,400 LV,40,50
NH,1,July 19-27,UNH,264 LV,44,39
NH,1,April 18-28,UNH,229 LV,38,42
NH,1,April 17-21,PPP,647 RV,45,46
NH,1,Jan. 27-Feb. 3,UNH,168 LV,33,43
NH,1,"Sept. 2, 2009",Populus Research,406 LV,46.3,43.4
NH,2,Oct. 27-31,UNH,451 LV,43,40
NH,2,Oct. 7-12,UNH,363 LV,43,36
NH,2,Oct. 5-7,Penn Schoen Berland,407 LV,42,45
NH,2,Sept. 23-29,UNH,228 LV,38,43
NH,2,Sept. 22-26,American Research Group,400 LV,36,38
NH,2,July 19-27,UNH,240 LV,29,47
NH,2,April 18-28,UNH,231 LV,30,42
NH,2,Jan. 27-Feb. 3,UNH,174 LV,28,39
NJ,1,Oct. 18-22,Zogby (telephone),400 LV,63,22
NJ,1,Sept. 21-23,Zogby (telephone),400 LV,59,24
NJ,2,Oct. 18-22,Zogby (telephone),400 LV,20,57
NJ,2,Sept. 21-23,Zogby (telephone),400 LV,25,59
NJ,3,Oct. 22-25,Monmouth U.,"1,037 LV",43,48
NJ,3,Oct. 23-24,Rutgers,292 LV,46,45
NJ,3,Oct. 23-24,Rutgers,450 RV,39,38
NJ,3,Oct. 18-22,Zogby (telephone),600 LV,37,40
NJ,3,Sept. 24-28,Monmouth U.,400 LV,42,39
NJ,3,Sept. 23-26,Rutgers,533 RV,41,30
NJ,3,Sept. 23-26,Rutgers,334 LV,44,38
NJ,3,Sept. 21-23,Zogby (telephone),401 LV,38,30
NJ,3,Aug. 5-8,Rutgers,416 RV,35,28
NJ,3,June 27-30,"GQR / Democracy Corps
                      
                        DEM",505 LV,51,34
NJ,6,Oct. 22-25,Monmouth U.,647 LV,52,45
